;category;description;tasks
0;Упражнения с числами;Перечислите следующие числовые последовательности:;Возрастающую на 1: 1, 2, 3, 4, ..., 100. Убывающую на 1: 100, 99, 98, 97, ..., 1.
1;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 2: 2, 4, 6, 8, ..., 100. Убывающую на 2: 100, 98, 96, 94, ..., 2.
2;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 3: 3, 6, 9, 12, ..., 99. Убывающую на 3: 99, 96, 93, 90, ..., 3.
3;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 4: 4, 8, 12, 16, ..., 100. Убывающую на 4: 100, 96, 92, 88, ..., 4.
4;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 5: 5, 10, 15, 20, ..., 100. Убывающую на 5: 100, 95, 90, 85, ..., 5.
5;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 6: 6, 12, 18, 24, ..., 96. Убывающую на 6: 96, 90, 84, 78, ..., 6.
6;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 7: 7, 14, 21, 28, ..., 98. Убывающую на 7: 98, 91, 84, 77, ..., 7.
7;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 8: 8, 16, 24, 32, ..., 96. Убывающую на 8: 96, 88, 80, 72, ..., 8.
8;Упражнения с числами;Перечислите возрастающие и убывающие последовательности:;Возрастающую на 9: 9, 18, 27, 36, ..., 99. Убывающую на 9: 99, 90, 81, 72, ..., 9.
9;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 2 и на 3: 2 - 3, 4 - 6, 6 - 9, 8 - 12, ..., 66 - 99. Убывающие на 2 и на 3: 66 - 99, 64 - 96, 62 - 93, 60 - 90, ..., 2 - 3.
10;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 3 и на 2: 3 - 2, 6 - 4, 9 - 6, 12 - 8, ..., 99 - 66. Убывающие на 3 и на 2: 99 - 66, 96 - 64, 93 - 62, 90 - 60, ..., 3 - 2.
11;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 3 и на 4: 3 - 4, 6 - 8, 9 - 12, 12 - 16, ..., 75 - 100. Убывающие на 3 и на 4: 75 - 100, 72 - 96, 69 - 92, 66 - 88, ..., 3 - 4.
12;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 3 и на 5: 3 - 5, 6 - 10, 9 - 15, 12 - 20, ..., 60 - 100. Убывающие на 3 и на 5: 60 - 100, 57 - 95, 54 - 90, 51 - 85, ..., 3 - 5.
13;Упражнения с числами;Перечислите попарно две последовательности:;Возрастающие на 8 и на 3: 8 - 3, 16 - 6, 24 - 9, 32 - 12, ..., 96 - 36. Убывающие на 8 и на 3: 96 - 36, 88 - 33, 80 - 30, 72 - 27, ..., 8 - 3.
14;Упражнения с числами;Перечислите попарно две альтернативные последовательности:;Возрастающую на 2, убывающую на 2: 2 - 100, 4 - 98, 6 - 96, 8 - 94, ..., 100 - 2.
15;Упражнения с числами;Перечислите попарно две альтернативные последовательности:;Возрастающую на 2, убывающую на 3: 2 - 99, 4 - 96, 6 - 93, 8 - 90, ..., 66 - 3.
16;Упражнения с числами;Перечислите попарно две альтернативные последовательности:;Возрастающую на 3, убывающую на 4: 3 - 100, 6 - 96, 9 - 92, 12 - 88, ..., 75 - 4.
17;Упражнения с числами;Перечислите попарно две альтернативные последовательности:;Возрастающую на 3, убывающую на 5: 3 - 100, 6 - 95, 9 - 90, 12 - 85, ..., 60 - 5.
18;Упражнения с числами;Перечислите попарно две альтернативные последовательности:;Возрастающую на 5, убывающую на 4: 100 - 4, 95 - 8, 90 - 12, 85 - 16, ..., 5 - 80.
19;Упражнения с числами;Перечислите попарно две альтернативные последовательности:;Возрастающую на 7, убывающую на 6: 98 - 6, 91 - 12, 84 - 18, 77 - 24, ..., 7 - 84.
20;Упражнения с числами;Перечислите в возрастающем порядке числа из множества от 1 до 100:;"Содержащие цифру 7 (5; 9; 1)."
21;Упражнения с числами;Перечислите в возрастающем порядке числа из множества от 1 до 100:;"Содержащие цифру 4 или 6 (2 или 5; 6 или 1)."
22;Упражнения с числами;Перечислите в возрастающем порядке числа из множества от 1 до 100:;"Сумма цифр которых равна 7 (6; 9; 8)."
23;Упражнения с числами;Перечислите в возрастающем порядке числа из множества от 1 до 100:;Сумма цифр которых делится на 3 или 4.
24;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Возрастающих соответственно на 2, 3, 4: 2 - 3 - 4, 4 - 6 - 8, 6 - 9 - 12, 8 - 12 - 16, ..., 48 - 72 - 96.
25;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Возрастающих соответственно на 2, 3, 5: 2 - 3 - 5, 4 - 6 - 10, 6 - 9 - 15, 8 - 12 - 20, ..., 40 - 60 - 100.
26;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Возрастающих соответственно на 3, 8, 7: 3 - 8 - 7, 6 - 16 - 14, 9 - 24 - 21, 12 - 32 - 28, ..., 36 - 96 - 84.
27;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Возрастающих соответственно на 9, 5, 3: 9 - 5 - 3, 18 - 10 - 6, 27 - 15 - 9, 36 - 20 - 12, ..., 99 - 55 - 33.
28;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Убывающих соответственно на 2, 4, 3: 100 - 100 - 99, 98 - 96 - 96, 96 - 92 - 93, 94 - 88 - 90, ..., 52 - 4 - 27.
29;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Убывающих соответственно на 5, 2, 3: 100 - 100 - 100, 95 - 98 - 97, 90 - 96 - 94, 85 - 94 - 91, ..., 5 - 62 - 43.
30;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Убывающих соответственно на 7, 5, 4: 98 - 100 - 100, 91 - 95 - 96, 84 - 90 - 92, 77 - 85 - 88, ..., 7 - 35 - 48.
31;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Убывающих соответственно на 3, 2, 3: 100 - 100 - 99, 97 - 98 - 96, 94 - 96 - 93, 91 - 94 - 90, ..., 1 - 34 - 0.
32;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Первое убывает на 2, второе возрастает на 4, третье убывает на 3: 100 - 4 - 99, 98 - 8 - 96, 96 - 12 - 93, ..., 53 - 100 - 28.
33;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Первое возрастает на 3, второе убывает на 3, третье возрастает на 4: 3 - 99 - 4, 6 - 96 - 8, 9 - 93 - 12, ..., 75 - 28 - 100.
34;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Первое возрастает на 5, второе убывает на 3, третье возрастает на 2: 4 - 100 - 3, 9 - 97 - 5, 14 - 94 - 7, ..., 99 - 43 - 51.
35;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из трех чисел:;Первое убывает на 4, второе возрастает на 3, третье убывает на 7: 99 - 2 - 100, 95 - 5 - 93, 91 - 8 - 86, ..., 43 - 54 - 2.
36;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Возрастающих соответственно на 2, 3, 4, 5: 2 - 3 - 4 - 5, 4 - 6 - 8 - 10, 6 - 9 - 12 - 15, ..., 40 - 60 - 80 - 100.
37;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Возрастающих соответственно на 2, 5, 4, 1: 2 - 5 - 4 - 1, 4 - 10 - 8 - 2, 6 - 15 - 12 - 3, ..., 40 - 100 - 80 - 20.
38;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Возрастающих соответственно на 3, 5, 2, 7: 3 - 5 - 2 - 7, 6 - 10 - 4 - 14, 9 - 15 - 6 - 21, ..., 21 - 70 - 28 - 98.
39;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Убывающих соответственно на 2, 3, 4, 5: 100 - 100 - 100 - 100, 98 - 97 - 96 - 95, ..., 60 - 40 - 20 - 0.
40;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Убывающих соответственно на 2, 3, 4, 7: 100 - 99 - 100 - 98, 98 - 96 - 96 - 91, ..., 72 - 57 - 44 - 0.
41;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Убывающих соответственно на 3, 5, 4, 2: 100 - 100 - 100 - 100, 97 - 95 - 96 - 98, ..., 40 - 0 - 20 - 60.
42;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Первое возрастает на 2, второе убывает на 2, третье возрастает на 3, четвертое убывает на 3 : 2 - 100 - 3 - 99, 4 - 98 - 6 - 96, 6 - 96 - 9 - 93...
43;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Первое возрастает на 2, второе убывает на 3, третье возрастает на 4, четвертое убывает на 5: 2 - 99 - 4 - 100, 4 - 96 - 8 - 95, 6 - 93 - 12 - 90...
44;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Первое и второе возрастают соответственно на 2, 3, третье и четвертое убывают соответственно на 7, 3: 100 - 100 - 1 - 1, 98 - 97 - 8 - 4, 96 - 94 - 15 - 7, 94 - 91 - 22 - 10...
45;Упражнения с числами;Перечислите серии последовательностей, каждый член которых состоит из четырех чисел:;Первое и второе возрастают соответственно на 4, 3, третье и четвертое убывают соответственно на 6, 4: 4 - 3 - 98 - 100, 8 - 6 - 92 - 96, 12 - 9 - 86 - 92, 16 - 12 - 80 - 88...
